Output from Radio_Raw_Data_Test.ino
7/9/15
Used MoteinoMega that was located on kitchen table
Davis ISS had a new battery




Davis ISS Radio test for MoteinoMega
RxTime	RSSI	chan	crc err	ID	packet
2686	-71	42	8	3	E2 00 6D 80 03 00 0E 25 
RxTime	RSSI	chan	crc err	ID	packet
2686	-67	43	8	3	52 00 6D FF 73 00 09 E9 
2674	-62	44	8	3	92 00 6D 01 03 67 5B 92 
2686	-72	45	8	3	82 00 6D 29 AB 00 E6 E7 
2686	-59	46	8	3	E2 00 6D 80 03 00 0E 25 
2687	-70	47	8	3	52 00 6D FF 73 00 09 E9 
2686	-62	48	8	3	A2 00 6D F9 2B 00 AD E3 
2686	-66	49	8	3	82 00 6D 29 AB 00 E6 E7 
2687	-73	50	8	3	E2 00 6D 80 03 00 0E 25 
2686	-65	0	8	3	52 00 6D FF 73 00 09 E9 
2686	-63	1	8	3	A2 00 6D F9 2B 00 AD E3 
2687	-67	2	8	3	82 00 6D 29 AB 00 E6 E7 
2686	-69	3	8	3	E2 00 6D 80 03 00 0E 25 
2686	-65	4	8	3	52 00 6D FF 73 00 09 E9 
2686	-60	5	8	3	62 00 6D FF C3 00 38 68 
2687	-75	6	8	3	82 00 6D 29 AB 00 E6 E7 
2686	-80	7	8	3	E2 00 6D 80 03 00 0E 25 
2686	-60	8	8	3	52 00 6D FF 73 00 09 E9 
2687	-72	9	8	3	42 00 6D FF C3 00 0D 60 
2686	-64	10	8	3	82 00 6D 29 AB 00 E6 E7 
2686	-63	11	8	3	E2 00 6D 80 03 00 0E 25 
2687	-68	12	8	3	52 00 6D FF 73 00 09 E9 
2686	-75	13	8	3	92 00 6D 01 03 77 49 A3 
RxTime	RSSI	chan	crc err	ID	packet
2686	-63	14	8	3	82 00 6D 29 AB 00 E6 E7 
2675	-59	15	8	3	E2 00 6D 80 03 00 0E 25 
2687	-65	16	8	3	52 00 6D FF 73 00 09 E9 
2686	-74	17	8	3	A2 00 6D FC 2B 00 46 13 
2686	-59	18	8	3	82 00 6D 29 AB 00 E6 E7 
2687	-76	19	8	3	E2 00 6D 80 03 00 0E 25 
2686	-65	20	8	3	52 00 6D FF 73 00 09 E9 
2686	-64	21	8	3	A2 00 6D FC 2B 00 46 13 
2687	-69	22	8	3	82 00 6D 29 AB 00 E6 E7 
2686	-72	23	8	3	E2 00 6D 80 03 00 0E 25 
2686	-62	24	8	3	52 00 6D FF 73 00 09 E9 
2686	-78	25	8	3	62 00 6D FF C3 00 38 68 
2686	-59	26	8	3	82 00 6D 29 AB 00 E6 E7 
2686	-65	27	8	3	E2 00 6D 80 03 00 0E 25 
2686	-75	28	8	3	52 00 6D FF 73 00 09 E9 
2687	-74	29	8	3	42 00 6D FF C3 00 0D 60 
2686	-62	30	8	3	82 00 6D 29 BB 00 E5 94 
2686	-63	31	8	3	E2 00 6D 80 03 00 0E 25 
2687	-73	32	8	3	52 00 6D FF 73 00 09 E9 
2686	-67	33	8	3	92 00 6D 01 03 87 A6 BC 
2686	-59	34	8	3	82 00 6D 29 AB 00 E6 E7 
2686	-72	35	8	3	E2 00 6D 80 03 00 0E 25 
RxTime	RSSI	chan	crc err	ID	packet
2687	-81	36	8	3	52 00 6D FF 73 00 09 E9 
2674	-73	37	8	3	A2 00 6D F5 2B 00 D8 82 
2686	-62	38	8	3	82 00 6D 29 BB 00 E5 94 
2687	-68	39	8	3	E2 00 6D 80 03 00 0E 25 
2686	-74	40	8	3	52 00 6D FF 73 00 09 E9 
2686	-63	41	8	3	A2 00 6D F5 2B 00 D8 82 
2687	-75	42	8	3	82 00 6D 29 BB 00 E5 94 
Got CRC error. E4 9E DC 8E 7A 1A 35 C8    Seconds since last error: 272    Minutes running: 20.72

72565	-58	18	9	3	42 00 6D FF C3 00 0D 60 
2686	-73	19	9	3	82 00 6D 29 BB 00 E5 94 
2686	-62	20	9	3	E2 00 6D 80 03 00 0E 25 
2687	-59	21	9	3	52 00 6D FF 73 00 09 E9 
2686	-68	22	9	3	92 00 6D 00 03 07 00 04 
2686	-65	23	9	3	82 00 6D 29 BB 00 E5 94 
2687	-62	24	9	3	E2 00 6D 80 03 00 0E 25 
2686	-80	25	9	3	52 00 6D FF 73 00 09 E9 
2686	-61	26	9	3	A2 00 6D F0 2B 00 33 72 
2686	-65	27	9	3	82 00 6D 29 BB 00 E5 94 
2686	-73	28	9	3	E2 00 6D 80 03 00 0E 25 
2686	-71	29	9	3	52 00 6D FF 73 00 09 E9 
2686	-66	30	9	3	A2 00 6D F0 2B 00 33 72 
2687	-63	31	9	3	82 00 6D 29 BB 00 E5 94 
2686	-71	32	9	3	E2 00 6D 80 03 00 0E 25 
RxTime	RSSI	chan	crc err	ID	packet
2686	-65	33	9	3	52 00 6D FF 73 00 09 E9 
2674	-63	34	9	3	62 00 6D FF C3 00 38 68 
2686	-74	35	9	3	82 00 6D 29 BB 00 E5 94 
2686	-81	36	9	3	E2 00 6D 80 03 00 0E 25 
2686	-68	37	9	3	52 00 6D FF 73 00 09 E9 
2686	-63	38	9	3	42 00 6D FF C3 00 0D 60 
2686	-65	39	9	3	82 00 6D 29 BB 00 E5 94 
2686	-76	40	9	3	E2 00 6D 80 03 00 0E 25 
2687	-58	41	9	3	52 00 6D FF 73 00 09 E9 
2686	-70	42	9	3	92 00 6D 00 03 07 00 04 
Got CRC error. 10 7D FF 82 0D 6E AC E7    Seconds since last error: 138    Minutes running: 23.02

72566	-58	18	10	3	52 00 6D FF 73 00 09 E9 
2686	-71	19	10	3	A2 00 6D E5 2B 00 9B E1 
2687	-62	20	10	3	82 00 6D 29 BB 00 E5 94 
